kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 125 : 4000000 25766688 0 0 0 0 0 0 0 
_1.ptx 124 : 4000000 33420608 0 0 0 0 0 0 0 
_1.ptx 123 : 4000000 44850400 0 0 0 0 0 0 0 
_1.ptx 122 : 4000000 154563424 16000000 0 0 125000 125000 0 0 
_1.ptx 121 : 4000000 45030656 0 0 0 0 0 0 0 
_1.ptx 120 : 4000000 44912512 0 0 0 0 0 0 0 
_1.ptx 119 : 4000000 45063328 0 0 0 0 0 0 0 
_1.ptx 118 : 4000000 44990496 0 0 0 0 0 0 0 
_1.ptx 117 : 4000000 45065312 0 0 0 0 0 0 0 
_1.ptx 116 : 4000000 44743136 0 0 0 0 0 0 0 
_1.ptx 115 : 4000000 142025728 16000000 0 0 125000 125000 0 0 
_1.ptx 114 : 4000000 44850592 0 0 0 0 0 0 0 
_1.ptx 113 : 4000000 44813632 0 0 0 0 0 0 0 
_1.ptx 112 : 4000000 44877888 0 0 0 0 0 0 0 
_1.ptx 111 : 4000000 44879616 0 0 0 0 0 0 0 
_1.ptx 110 : 4000000 44703264 0 0 0 0 0 0 0 
_1.ptx 109 : 4000000 132307840 0 0 0 0 0 0 0 
_1.ptx 108 : 4000000 41492384 0 0 0 0 0 0 0 
_1.ptx 107 : 4000000 45361760 0 0 0 0 0 0 0 
_1.ptx 106 : 4000000 37039040 0 0 0 0 0 0 0 
_1.ptx 105 : 4000000 44801888 0 0 0 0 0 0 0 
_1.ptx 104 : 4000000 29945088 0 0 0 0 0 0 0 
_1.ptx 103 : 4000000 45045344 0 0 0 0 0 0 0 
_1.ptx 102 : 4000000 44781024 0 0 0 0 0 0 0 
_1.ptx 101 : 4000000 33118144 0 0 0 0 0 0 0 
_1.ptx 100 : 4000000 33289952 0 0 0 0 0 0 0 
_1.ptx 99 : 4000000 33314848 0 0 0 0 0 0 0 
_1.ptx 98 : 4000000 29995200 0 0 0 0 0 0 0 
_1.ptx 97 : 4000000 41298592 0 0 0 0 0 0 0 
_1.ptx 96 : 4000000 144944544 0 0 0 0 0 0 0 
_1.ptx 95 : 4000000 41571872 0 0 0 0 0 0 0 
_1.ptx 94 : 4000000 44911488 0 0 0 0 0 0 0 
_1.ptx 93 : 4000000 41361920 0 0 0 0 0 0 0 
