kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 36 : 16777216 102617504 0 0 0 0 0 0 0 
_1.ptx 35 : 16777216 215452288 0 0 0 524288 524288 0 0 
_1.ptx 34 : 16777216 186076640 0 0 0 0 0 0 0 
_1.ptx 27 : 16777216 109590240 0 0 0 0 0 0 0 
_1.ptx 26 : 16777216 124123840 0 0 0 0 0 0 0 
_1.ptx 25 : 16777216 60748864 0 0 0 0 0 0 0 
_1.ptx 24 : 16777216 60391552 128 0 0 0 0 0 0 
_1.ptx 28 : 16777216 107467360 0 0 0 0 0 0 0 
_1.ptx 29 : 16777216 110096576 0 0 0 0 0 0 0 
_1.ptx 30 : 16777216 251892544 0 0 0 0 0 0 0 
_1.ptx 31 : 16777216 229097664 0 0 0 0 0 0 0 
_1.ptx 32 : 16777216 187654944 0 0 0 0 0 0 0 
_1.ptx 33 : 16777216 9553197600 67108864 0 0 524288 524288 0 0 
