kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 108 : 64 322 512 0 0 64 64 0 0 
_1.ptx 107 : 64 708 0 0 0 0 0 0 0 
_1.ptx 106 : 64 652 0 0 0 0 0 0 0 
_1.ptx 105 : 64 706 0 0 0 0 0 0 0 
_1.ptx 104 : 64 405 0 0 0 0 0 0 0 
_1.ptx 103 : 64 460 0 0 0 0 0 0 0 
_1.ptx 101 : 64 406 0 0 0 0 0 0 0 
_1.ptx 111 : 16384 101376 0 0 0 0 0 0 0 
_1.ptx 97 : 64 397 0 0 0 0 0 0 0 
_1.ptx 96 : 16384 103049 0 0 0 0 0 0 64 
_1.ptx 91 : 64 328 256 0 0 64 64 0 0 
_1.ptx 90 : 64 716 0 0 0 0 0 0 0 
_1.ptx 89 : 64 646 0 0 0 0 0 0 0 
_1.ptx 95 : 16384 107648 0 0 0 0 0 0 0 
_1.ptx 94 : 16384 122912 0 0 0 0 0 0 0 
_1.ptx 88 : 64 450 0 64 64 0 0 0 0 
_1.ptx 87 : 64 457 0 0 0 0 0 0 0 
_1.ptx 48 : 16384 183712 0 0 0 0 0 0 0 
_1.ptx 41 : 64 338 512 0 0 64 64 0 0 
_1.ptx 40 : 64 717 0 0 0 0 0 0 0 
_1.ptx 47 : 16384 100512 0 0 0 0 0 0 0 
_1.ptx 46 : 16384 182592 0 0 0 0 0 0 0 
_1.ptx 39 : 64 675 0 0 0 0 0 0 0 
_1.ptx 38 : 64 456 0 0 0 0 0 0 0 
_1.ptx 85 : 16384 115015 0 0 0 0 0 0 64 
_1.ptx 45 : 16384 171488 0 0 0 0 0 0 0 
_1.ptx 52 : 16384 185184 0 0 0 0 0 0 0 
_1.ptx 29 : 16384 117600 0 0 0 0 0 0 0 
_1.ptx 51 : 16384 105248 0 0 0 0 0 0 0 
_1.ptx 28 : 16384 365472 0 0 0 0 0 0 0 
_1.ptx 50 : 16384 96192 0 512 512 0 0 0 0 
_1.ptx 27 : 16384 2113248 0 0 0 0 0 0 0 
_1.ptx 49 : 16384 5373024 1024 0 0 512 512 0 0 
_1.ptx 26 : 16384 2253952 128 0 0 0 0 0 0 
_1.ptx 73 : 32704 242850 0 0 0 0 0 0 0 
_1.ptx 30 : 16384 103744 0 0 0 0 0 0 0 
_1.ptx 31 : 16384 101472 0 0 0 0 0 0 0 
_1.ptx 78 : 147456 1168288 0 0 0 0 0 0 0 
_1.ptx 32 : 16384 118912 0 0 0 0 0 0 0 
_1.ptx 79 : 147456 1715712 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 103545 0 0 0 0 0 0 64 
_1.ptx 80 : 147456 1173440 0 0 0 0 0 0 0 
_1.ptx 44 : 16384 119360 0 0 0 0 0 0 0 
_1.ptx 36 : 64 420 0 0 0 0 0 0 0 
_1.ptx 53 : 16384 184832 0 0 0 0 0 0 0 
_1.ptx 54 : 16384 184192 0 0 0 0 0 0 0 
_1.ptx 55 : 16384 186944 0 0 0 0 0 0 0 
_1.ptx 56 : 16384 4900576 1024 0 0 512 512 0 0 
_1.ptx 57 : 16384 85792 0 512 512 0 0 0 0 
_1.ptx 58 : 16384 118112 0 0 0 0 0 0 0 
_1.ptx 59 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 62 : 147456 1157440 0 0 0 0 0 0 0 
_1.ptx 63 : 147456 1017152 0 0 0 0 0 0 0 
_1.ptx 64 : 147456 1262592 0 0 0 0 0 0 0 
_1.ptx 65 : 147456 829088 0 0 0 0 0 0 320 
_1.ptx 67 : 32704 277607 0 1280 1280 0 0 0 0 
_1.ptx 68 : 32704 369920 0 0 0 0 0 0 0 
_1.ptx 69 : 32704 425721 0 0 0 0 0 0 0 
_1.ptx 70 : 32704 376179 0 0 0 0 0 0 0 
_1.ptx 71 : 32704 272395 0 1280 1280 0 0 0 0 
_1.ptx 72 : 32704 284545 0 0 0 0 0 0 0 
_1.ptx 81 : 147456 1170464 0 0 0 0 0 0 0 
_1.ptx 82 : 147456 923744 0 0 0 0 0 0 0 
