kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 125 : 5 35 0 5 5 0 0 0 0 
_1.ptx 123 : 2050 13926 0 0 0 0 0 0 5 
_1.ptx 122 : 2050 15886 0 0 0 0 0 0 0 
_1.ptx 120 : 18434 126272 0 0 0 0 0 0 0 
_1.ptx 119 : 18434 151216 0 0 0 0 0 0 0 
_1.ptx 118 : 18434 189716 0 0 0 0 0 0 0 
_1.ptx 114 : 2045 14411 0 0 0 0 0 0 0 
_1.ptx 113 : 2045 14475 0 0 0 0 0 0 0 
_1.ptx 112 : 2045 14635 0 0 0 0 0 0 0 
_1.ptx 111 : 2045 12241 0 137 81 0 0 0 0 
_1.ptx 110 : 2045 20738 0 0 0 0 0 0 0 
_1.ptx 109 : 2045 22687 0 0 0 0 0 0 0 
_1.ptx 108 : 2045 10449 8192 0 0 81 81 0 0 
_1.ptx 107 : 2045 22559 0 0 0 0 0 0 0 
_1.ptx 106 : 2045 20450 0 0 0 0 0 0 0 
_1.ptx 105 : 2045 21058 0 0 0 0 0 0 0 
_1.ptx 104 : 2045 22655 0 0 0 0 0 0 0 
_1.ptx 103 : 2045 23336 0 137 81 0 0 0 0 
_1.ptx 102 : 2045 22280 0 137 81 0 0 0 0 
_1.ptx 101 : 2045 22591 0 0 0 0 0 0 0 
_1.ptx 117 : 18434 112236 0 0 0 0 0 0 0 
_1.ptx 100 : 2045 25698 0 0 0 0 0 0 0 
_1.ptx 99 : 2045 22495 0 0 0 0 0 0 0 
_1.ptx 98 : 2045 24546 0 0 0 0 0 0 0 
_1.ptx 97 : 2045 22495 0 0 0 0 0 0 0 
_1.ptx 96 : 2045 16235 0 0 0 0 0 0 0 
_1.ptx 95 : 2045 24255 0 0 0 0 0 0 0 
_1.ptx 94 : 2045 17387 0 0 0 0 0 0 0 
_1.ptx 93 : 2045 26777 0 0 0 0 0 0 0 
_1.ptx 92 : 2045 24319 0 0 0 0 0 0 0 
_1.ptx 90 : 18434 104030 0 0 0 0 0 0 21 
_1.ptx 89 : 18434 151408 0 0 0 0 0 0 0 
_1.ptx 86 : 2050 18222 0 0 0 0 0 0 0 
_1.ptx 85 : 2050 24502 0 0 0 0 0 0 0 
_1.ptx 84 : 2050 15660 0 0 0 0 0 0 0 
_1.ptx 83 : 2050 18062 0 0 0 0 0 0 0 
_1.ptx 82 : 2050 16332 0 0 0 0 0 0 0 
_1.ptx 80 : 2050 0 0 0 0 0 0 0 0 
_1.ptx 79 : 2050 14862 0 0 0 0 0 0 0 
_1.ptx 78 : 2050 12300 0 0 0 0 0 0 0 
_1.ptx 77 : 2050 16938 0 129 65 0 0 0 0 
_1.ptx 76 : 2050 23286 0 0 0 0 0 0 0 
_1.ptx 75 : 2050 23764 0 0 0 0 0 0 0 
_1.ptx 50 : 2050 21940 0 0 0 0 0 0 0 
_1.ptx 49 : 2050 22742 0 0 0 0 0 0 0 
_1.ptx 48 : 2050 10506 0 65 65 0 0 0 0 
_1.ptx 47 : 2050 637450 8192 0 0 65 65 0 0 
_1.ptx 46 : 2050 22550 0 0 0 0 0 0 0 
_1.ptx 45 : 2050 13196 0 0 0 0 0 0 0 
_1.ptx 44 : 2050 33428 0 0 0 0 0 0 0 
_1.ptx 43 : 2050 22838 0 0 0 0 0 0 0 
_1.ptx 42 : 2050 28692 0 0 0 0 0 0 0 
_1.ptx 41 : 2050 15246 0 0 0 0 0 0 0 
_1.ptx 40 : 2050 33946 0 0 0 0 0 0 0 
_1.ptx 39 : 2050 13548 0 0 0 0 0 0 0 
_1.ptx 129 : 5 25 128 0 0 5 5 0 0 
_1.ptx 32 : 2050 209058 0 0 0 0 0 0 0 
_1.ptx 128 : 5 55 0 0 0 0 0 0 0 
_1.ptx 31 : 2050 208674 0 0 0 0 0 0 0 
_1.ptx 127 : 5 50 0 0 0 0 0 0 0 
_1.ptx 30 : 2050 287396 0 0 0 0 0 0 0 
_1.ptx 126 : 5 35 0 0 0 0 0 0 0 
_1.ptx 29 : 2050 322340 128 0 0 0 0 0 0 
_1.ptx 33 : 2050 147744 0 0 0 0 0 0 0 
_1.ptx 34 : 2050 143264 0 0 0 0 0 0 0 
_1.ptx 132 : 2050 12428 0 0 0 0 0 0 0 
_1.ptx 35 : 2050 14702 0 0 0 0 0 0 0 
_1.ptx 36 : 2050 13708 0 0 0 0 0 0 0 
_1.ptx 37 : 2050 30486 0 0 0 0 0 0 0 
_1.ptx 38 : 2050 17456 0 0 0 0 0 0 0 
_1.ptx 51 : 2050 22614 0 0 0 0 0 0 0 
_1.ptx 52 : 2050 22678 0 0 0 0 0 0 0 
_1.ptx 53 : 2050 22004 0 0 0 0 0 0 0 
_1.ptx 54 : 2050 22678 0 0 0 0 0 0 0 
_1.ptx 55 : 2050 554152 8192 0 0 65 65 0 0 
_1.ptx 56 : 2050 10250 0 65 65 0 0 0 0 
_1.ptx 57 : 2050 12300 0 0 0 0 0 0 0 
