kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 49 : 49999872 318717600 0 0 0 0 0 0 0 
_1.ptx 48 : 49999872 409421984 0 0 0 0 0 0 0 
_1.ptx 47 : 49999872 555991552 0 0 0 0 0 0 0 
_1.ptx 46 : 49999872 305089152 49990272 0 0 1562496 1562496 0 0 
_1.ptx 45 : 49999872 24265720128 49999872 0 0 1562496 1562496 0 0 
_1.ptx 44 : 49999872 558443936 0 0 0 0 0 0 0 
_1.ptx 43 : 49999872 558024416 0 0 0 0 0 0 0 
_1.ptx 42 : 49999872 368046368 0 0 0 0 0 0 0 
_1.ptx 39 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 38 : 16384 143232 0 0 0 0 0 0 0 
_1.ptx 37 : 16384 188288 0 0 0 0 0 0 0 
_1.ptx 30 : 16384 131328 0 0 0 0 0 0 0 
_1.ptx 52 : 16384 100416 0 0 0 0 0 0 0 
_1.ptx 29 : 16384 365664 0 0 0 0 0 0 0 
_1.ptx 28 : 16384 2107200 0 0 0 0 0 0 0 
_1.ptx 27 : 16384 2248768 128 0 0 0 0 0 0 
_1.ptx 31 : 16384 135296 0 0 0 0 0 0 0 
_1.ptx 32 : 16384 120864 0 0 0 0 0 0 0 
_1.ptx 33 : 16384 120416 0 0 0 0 0 0 0 
_1.ptx 34 : 16384 123264 0 0 0 0 0 0 0 
_1.ptx 35 : 16384 216864 0 0 0 0 0 0 0 
_1.ptx 36 : 16384 117344 0 0 0 0 0 0 0 
