kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2539 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2536 : 3 15 0 0 0 3 3 0 0 
_1.ptx 2535 : 3 33 0 0 0 0 0 0 0 
_1.ptx 2534 : 3 30 0 0 0 0 0 0 0 
_1.ptx 2533 : 3 21 0 3 3 0 0 0 0 
_1.ptx 2532 : 3 21 0 0 0 0 0 0 0 
_1.ptx 2530 : 96 558 0 0 0 0 0 0 3 
_1.ptx 2529 : 96 672 0 0 0 0 0 0 0 
_1.ptx 2526 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2525 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2524 : 96 864 0 3 3 0 0 0 0 
_1.ptx 2523 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2522 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2521 : 96 768 0 3 3 0 0 0 0 
_1.ptx 2520 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2519 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2518 : 96 864 0 3 3 0 0 0 0 
_1.ptx 2517 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2516 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2515 : 96 768 0 3 3 0 0 0 0 
_1.ptx 2514 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2513 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2512 : 96 768 0 3 3 0 0 0 0 
_1.ptx 2510 : 96 0 0 0 0 0 0 0 0 
_1.ptx 2509 : 96 672 0 0 0 0 0 0 0 
_1.ptx 2508 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2507 : 96 480 0 3 3 0 0 0 0 
_1.ptx 2506 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2505 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2246 : 65536 300512 0 0 0 0 0 0 0 
_1.ptx 2245 : 65536 467264 0 0 0 0 0 0 0 
_1.ptx 2241 : 32768 166240 0 1024 1024 0 0 0 0 
_1.ptx 2240 : 32768 361312 0 0 0 0 0 0 0 
_1.ptx 2244 : 65536 395360 0 0 0 0 0 0 0 
_1.ptx 2239 : 32768 264896 0 1024 1024 0 0 0 0 
_1.ptx 2237 : 65536 198208 0 0 0 0 0 0 0 
_1.ptx 2236 : 65536 466880 0 0 0 0 0 0 0 
_1.ptx 2235 : 65536 396032 0 0 0 0 0 0 0 
_1.ptx 2234 : 65536 359328 0 2048 2048 0 0 0 0 
_1.ptx 2233 : 65536 723232 0 0 0 0 0 0 0 
_1.ptx 2232 : 65536 396096 0 0 0 0 0 0 0 
_1.ptx 2231 : 65536 662752 0 0 0 0 0 0 0 
_1.ptx 2228 : 33554432 203613504 0 0 0 0 0 0 0 
_1.ptx 2227 : 33554432 271126816 0 0 0 0 0 0 0 
_1.ptx 2226 : 33554432 370968256 0 0 0 0 0 0 0 
_1.ptx 2257 : 8192 66016 0 256 256 0 0 0 0 
_1.ptx 2210 : 65536 523456 0 0 0 0 0 0 0 
_1.ptx 2501 : 96 0 0 0 0 0 0 0 0 
_1.ptx 2209 : 65536 479648 0 0 0 0 0 0 0 
_1.ptx 2500 : 96 768 0 0 0 0 0 0 0 
_1.ptx 2255 : 65536 355712 0 0 0 0 0 0 0 
_1.ptx 2208 : 65536 755744 0 0 0 0 0 0 0 
_1.ptx 2499 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2254 : 65536 466528 0 0 0 0 0 0 0 
_1.ptx 2207 : 65536 456512 0 0 0 0 0 0 0 
_1.ptx 2498 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2253 : 65536 397568 0 0 0 0 0 0 0 
_1.ptx 2206 : 65536 516832 0 0 0 0 0 0 0 
_1.ptx 2497 : 96 14304 0 0 0 3 3 0 0 
_1.ptx 2205 : 65536 448864 0 0 0 0 0 0 0 
_1.ptx 2496 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2248 : 16384 131936 0 512 512 0 0 0 0 
_1.ptx 2201 : 65536 2319968 128 0 0 0 0 0 0 
_1.ptx 2492 : 96 960 0 0 0 0 0 0 0 
_1.ptx 2224 : 33554432 12087105920 134217728 0 0 1048576 1048576 0 0 
_1.ptx 2249 : 16384 180928 0 0 0 0 0 0 0 
_1.ptx 2202 : 65536 2183072 0 0 0 0 0 0 0 
_1.ptx 2493 : 96 960 0 0 0 0 0 0 0 
_1.ptx 2225 : 33554432 370792640 0 0 0 0 0 0 0 
_1.ptx 2250 : 16384 82784 0 512 512 0 0 0 0 
_1.ptx 2203 : 65536 500800 0 0 0 0 0 0 0 
_1.ptx 2494 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2204 : 65536 494304 0 0 0 0 0 0 0 
_1.ptx 2495 : 96 14304 0 0 0 3 3 0 0 
_1.ptx 2258 : 8192 95616 0 0 0 0 0 0 0 
_1.ptx 2211 : 65536 476448 0 0 0 0 0 0 0 
_1.ptx 2212 : 65536 571584 0 0 0 0 0 0 0 
_1.ptx 2213 : 65536 470176 0 0 0 0 0 0 0 
_1.ptx 2504 : 96 960 0 0 0 0 0 0 0 
_1.ptx 2217 : 33554432 341662688 0 0 0 0 0 0 0 
_1.ptx 2218 : 33554432 370820032 0 0 0 0 0 0 0 
_1.ptx 2219 : 33554432 338820576 0 0 0 0 0 0 0 
_1.ptx 2220 : 33554432 341603936 0 0 0 0 0 0 0 
_1.ptx 2221 : 33554432 371004736 0 0 0 0 0 0 0 
_1.ptx 2222 : 33554432 12141965184 134217728 0 0 1048576 1048576 0 0 
_1.ptx 2223 : 33554432 370385792 0 0 0 0 0 0 0 
_1.ptx 2259 : 8192 41504 0 256 256 0 0 0 0 
_1.ptx 2260 : 8192 66112 0 256 256 0 0 0 0 
_1.ptx 2261 : 8192 90336 0 0 0 0 0 0 0 
_1.ptx 2262 : 8192 44736 0 256 256 0 0 0 0 
_1.ptx 2263 : 8192 70208 0 256 256 0 0 0 0 
_1.ptx 2264 : 8192 90112 0 0 0 0 0 0 0 
_1.ptx 2265 : 8192 41248 0 256 256 0 0 0 0 
_1.ptx 2266 : 8192 66368 0 256 256 0 0 0 0 
_1.ptx 2267 : 8192 90176 0 0 0 0 0 0 0 
_1.ptx 2268 : 8192 42912 0 256 256 0 0 0 0 
_1.ptx 2269 : 8192 72160 0 256 256 0 0 0 0 
_1.ptx 2270 : 8192 90272 0 0 0 0 0 0 0 
_1.ptx 2271 : 8192 41408 0 256 256 0 0 0 0 
_1.ptx 2272 : 8192 66560 0 256 256 0 0 0 0 
_1.ptx 2273 : 8192 90208 0 0 0 0 0 0 0 
_1.ptx 2274 : 8192 41312 0 256 256 0 0 0 0 
_1.ptx 2474 : 96 288 0 0 0 0 0 0 0 
_1.ptx 2475 : 96 288 0 0 0 0 0 0 0 
_1.ptx 2481 : 96 1056 0 0 0 0 0 0 0 
_1.ptx 2282 : 256 2573 0 0 0 0 0 0 0 
_1.ptx 2277 : 65536 483744 0 0 0 0 0 0 0 
_1.ptx 2476 : 96 288 0 0 0 0 0 0 0 
_1.ptx 2278 : 65536 408857 0 0 0 0 0 0 256 
_1.ptx 2477 : 96 672 0 0 0 0 0 0 0 
_1.ptx 2478 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2280 : 256 1799 0 0 0 0 0 0 0 
_1.ptx 2479 : 96 672 0 0 0 0 0 0 0 
_1.ptx 2281 : 256 1799 0 256 256 0 0 0 0 
_1.ptx 2480 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2283 : 256 2819 0 0 0 0 0 0 0 
_1.ptx 2482 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2284 : 256 1290 960 0 0 256 256 0 0 
_1.ptx 2483 : 96 672 0 0 0 0 0 0 0 
_1.ptx 2484 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2485 : 96 768 0 0 0 0 0 0 0 
_1.ptx 2287 : 65536 396640 0 0 0 0 0 0 0 
_1.ptx 2486 : 96 576 0 0 0 0 0 0 0 
_1.ptx 2490 : 96 960 0 0 0 0 0 0 0 
_1.ptx 2491 : 96 1056 0 0 0 0 0 0 0 
