kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 125 : 256 6081 384 0 0 256 256 0 0 
_1.ptx 124 : 256 2912 0 0 0 0 0 0 0 
_1.ptx 123 : 256 2680 0 0 0 0 0 0 0 
_1.ptx 122 : 256 5349 0 256 256 0 0 0 0 
_1.ptx 120 : 65536 445266 0 0 0 0 0 0 256 
_1.ptx 119 : 65536 513312 0 0 0 0 0 0 0 
_1.ptx 117 : 655360 4071552 0 0 0 0 0 0 0 
_1.ptx 116 : 655360 4596576 0 0 0 0 0 0 0 
_1.ptx 115 : 655360 5078688 0 0 0 0 0 0 0 
_1.ptx 114 : 655360 5051168 0 0 0 0 0 0 0 
_1.ptx 111 : 261888 461664 0 0 0 0 0 0 0 
_1.ptx 110 : 261888 2098032 0 0 0 0 0 0 0 
_1.ptx 109 : 261888 2237765 0 0 0 0 0 0 0 
_1.ptx 108 : 261888 2965438 0 0 0 0 0 0 0 
_1.ptx 107 : 261888 3205235 0 9216 9216 0 0 0 0 
_1.ptx 106 : 261888 2963876 0 0 0 0 0 0 0 
_1.ptx 105 : 261888 3559163 0 9216 9216 0 0 0 0 
_1.ptx 104 : 261888 4047661 0 9216 9216 0 0 0 0 
_1.ptx 103 : 261888 3002576 0 0 0 0 0 0 0 
_1.ptx 102 : 261888 3344380 0 0 0 0 0 0 0 
_1.ptx 101 : 261888 3002285 0 0 0 0 0 0 0 
_1.ptx 100 : 261888 1792674 0 0 0 0 0 0 0 
_1.ptx 99 : 261888 3024411 0 0 0 0 0 0 0 
_1.ptx 98 : 261888 3004905 0 0 0 0 0 0 0 
_1.ptx 97 : 261888 2077714 0 0 0 0 0 0 0 
_1.ptx 94 : 655360 3334078 0 0 0 0 0 0 1280 
_1.ptx 93 : 655360 5393504 0 0 0 0 0 0 0 
_1.ptx 92 : 655360 5609088 0 0 0 0 0 0 0 
_1.ptx 48 : 65536 447072 0 0 0 0 0 0 0 
_1.ptx 47 : 65536 513792 0 0 0 0 0 0 0 
_1.ptx 46 : 65536 757120 0 0 0 0 0 0 0 
_1.ptx 45 : 65536 555968 0 0 0 0 0 0 0 
_1.ptx 42 : 32768 252224 0 0 0 0 0 0 0 
_1.ptx 41 : 32768 225728 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 419584 0 0 0 0 0 0 0 
_1.ptx 40 : 32768 225024 0 0 0 0 0 0 0 
_1.ptx 129 : 65536 554976 0 0 0 0 0 0 0 
_1.ptx 32 : 32768 280864 0 0 0 0 0 0 0 
_1.ptx 79 : 262144 1658848 0 0 0 0 0 0 0 
_1.ptx 54 : 65536 514752 0 0 0 0 0 0 0 
_1.ptx 128 : 65536 742720 0 0 0 0 0 0 0 
_1.ptx 31 : 32768 287840 0 0 0 0 0 0 0 
_1.ptx 78 : 262144 2692480 0 0 0 0 0 0 0 
_1.ptx 53 : 65536 462624 0 0 0 0 0 0 0 
_1.ptx 30 : 32768 2459968 0 0 0 0 0 0 0 
_1.ptx 52 : 65536 773408 0 0 0 0 0 0 0 
_1.ptx 29 : 32768 2651456 128 0 0 0 0 0 0 
_1.ptx 130 : 65536 230176 0 0 0 0 0 0 0 
_1.ptx 33 : 32768 310336 0 0 0 0 0 0 0 
_1.ptx 80 : 262144 2942208 0 0 0 0 0 0 0 
_1.ptx 57 : 262144 3541088 0 0 0 0 0 0 0 
_1.ptx 34 : 32768 214304 0 0 0 0 0 0 0 
_1.ptx 81 : 262144 7209184 0 8192 8192 0 0 0 0 
_1.ptx 58 : 262144 2962880 0 0 0 0 0 0 0 
_1.ptx 35 : 32768 276096 0 0 0 0 0 0 0 
_1.ptx 82 : 262144 2938912 0 0 0 0 0 0 0 
_1.ptx 133 : 32768 220736 0 0 0 0 0 0 0 
_1.ptx 36 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 83 : 262144 1954912 0 0 0 0 0 0 0 
_1.ptx 38 : 32768 247968 0 0 0 0 0 0 0 
_1.ptx 85 : 262144 1299264 0 0 0 0 0 0 0 
_1.ptx 39 : 32768 248768 0 0 0 0 0 0 0 
_1.ptx 59 : 262144 2971136 0 0 0 0 0 0 0 
_1.ptx 60 : 262144 2997376 0 0 0 0 0 0 0 
_1.ptx 61 : 262144 3015488 0 0 0 0 0 0 0 
_1.ptx 62 : 262144 1788512 0 0 0 0 0 0 0 
_1.ptx 63 : 262144 2209024 0 0 0 0 0 0 0 
_1.ptx 64 : 262144 1733600 0 0 0 0 0 0 0 
_1.ptx 68 : 1048576 411689280 4194304 0 0 32768 32768 0 0 
_1.ptx 69 : 1048576 413442144 4194304 0 0 32768 32768 0 0 
_1.ptx 70 : 1048576 9669152 0 0 0 0 0 0 0 
_1.ptx 71 : 1048576 10760736 0 0 0 0 0 0 0 
_1.ptx 72 : 1048576 10864864 0 0 0 0 0 0 0 
_1.ptx 73 : 1048576 10841024 0 0 0 0 0 0 0 
_1.ptx 74 : 1048576 8668736 0 0 0 0 0 0 0 
_1.ptx 75 : 1048576 5024576 0 0 0 0 0 0 0 
_1.ptx 84 : 262144 2729696 0 0 0 0 0 0 0 
_1.ptx 91 : 655360 4282080 0 0 0 0 0 0 0 
