kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 394 : 5111808 57368128 0 0 0 0 0 0 0 
_1.ptx 267 : 5111808 31776160 0 0 0 0 0 0 0 
_1.ptx 266 : 5111808 37384512 0 0 0 0 0 0 0 
_1.ptx 265 : 5111808 356708800 0 319488 159744 0 0 0 0 
_1.ptx 264 : 5111808 57060832 0 0 0 0 0 0 0 
_1.ptx 263 : 5111808 53017408 0 0 0 0 0 0 0 
_1.ptx 262 : 5111808 56845216 0 0 0 0 0 0 0 
_1.ptx 261 : 5111808 367032832 0 319488 159744 0 0 0 0 
_1.ptx 260 : 5111808 31093728 0 0 0 0 0 0 0 
_1.ptx 259 : 5111808 56610624 0 0 0 0 0 0 0 
_1.ptx 399 : 5111808 31596160 0 0 0 0 0 0 0 
_1.ptx 258 : 5111808 31004128 0 0 0 0 0 0 0 
_1.ptx 398 : 5111808 729490304 81788928 0 0 638976 159744 0 0 
_1.ptx 257 : 5111808 51664896 0 0 0 0 0 0 0 
_1.ptx 397 : 5111808 57352576 0 0 0 0 0 0 0 
_1.ptx 256 : 5111808 56517792 0 0 0 0 0 0 0 
_1.ptx 242 : 5111808 37849376 0 0 0 0 0 0 0 
_1.ptx 241 : 5111808 68228672 0 0 0 0 0 0 0 
_1.ptx 240 : 5111808 33482528 0 0 0 0 0 0 0 
_1.ptx 239 : 5111808 33084160 0 0 0 0 0 0 0 
_1.ptx 285 : 5111808 31473184 0 0 0 0 0 0 0 
_1.ptx 238 : 5111808 33914848 0 0 0 0 0 0 0 
_1.ptx 284 : 5111808 383208512 0 319488 159744 0 0 0 0 
_1.ptx 237 : 5111808 38811968 0 0 0 0 0 0 0 
_1.ptx 233 : 5111808 363336928 128 0 0 0 0 0 0 
_1.ptx 234 : 5111808 310356672 0 0 0 0 0 0 0 
_1.ptx 235 : 5111808 312534624 0 0 0 0 0 0 0 
_1.ptx 236 : 5111808 37921280 0 0 0 0 0 0 0 
_1.ptx 243 : 5111808 53888000 0 0 0 0 0 0 0 
_1.ptx 244 : 5111808 57055072 0 0 0 0 0 0 0 
_1.ptx 245 : 5111808 5276838656 81788928 0 0 638976 159744 0 0 
_1.ptx 246 : 5111808 56644352 0 0 0 0 0 0 0 
_1.ptx 247 : 5111808 56623392 0 0 0 0 0 0 0 
_1.ptx 248 : 5111808 56672672 0 0 0 0 0 0 0 
_1.ptx 249 : 5111808 36463264 0 0 0 0 0 0 0 
_1.ptx 250 : 5111808 36624288 0 0 0 0 0 0 0 
_1.ptx 392 : 5111808 37182624 0 0 0 0 0 0 0 
_1.ptx 251 : 5111808 36615424 0 0 0 0 0 0 0 
_1.ptx 393 : 5111808 57172416 0 0 0 0 0 0 0 
_1.ptx 252 : 5111808 0 0 0 0 0 0 0 0 
_1.ptx 395 : 5111808 57209088 0 0 0 0 0 0 0 
_1.ptx 254 : 5111808 51560320 0 0 0 0 0 0 0 
_1.ptx 396 : 5111808 57265248 0 0 0 0 0 0 0 
_1.ptx 255 : 5111808 41301440 0 0 0 0 0 0 0 
