kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 64 : 19922944 123892000 0 0 0 0 0 0 0 
_1.ptx 61 : 19922944 0 0 0 0 0 0 0 0 
_1.ptx 60 : 19922944 162542592 0 0 0 0 0 0 0 
_1.ptx 59 : 19922944 202062784 0 0 0 0 0 0 0 
_1.ptx 58 : 19922944 892013856 68798464 0 0 1245184 622592 0 0 
_1.ptx 43 : 19922944 133025088 0 0 0 0 0 0 0 
_1.ptx 42 : 19922944 131716736 0 0 0 0 0 0 0 
_1.ptx 41 : 19922944 150645952 0 0 0 0 0 0 0 
_1.ptx 40 : 19922944 148551264 0 0 0 0 0 0 0 
_1.ptx 38 : 19922944 0 0 0 0 0 0 0 0 
_1.ptx 37 : 19922944 148538336 0 0 0 0 0 0 0 
_1.ptx 33 : 19922944 328690784 128 0 0 0 0 0 0 
_1.ptx 34 : 19922944 284678944 0 0 0 0 0 0 0 
_1.ptx 57 : 19922944 11564646240 79691776 0 0 1245184 622592 0 0 
_1.ptx 35 : 19922944 288460096 0 0 0 0 0 0 0 
_1.ptx 36 : 19922944 261971712 0 0 0 0 0 0 0 
_1.ptx 44 : 19922944 131278976 0 0 0 0 0 0 0 
_1.ptx 45 : 19922944 133237024 0 0 0 0 0 0 0 
_1.ptx 46 : 19922944 153169472 0 0 0 0 0 0 0 
_1.ptx 47 : 19922944 228490784 0 0 0 0 0 0 0 
_1.ptx 48 : 19922944 264157632 0 0 0 0 0 0 0 
_1.ptx 49 : 19922944 145961056 0 0 0 0 0 0 0 
_1.ptx 50 : 19922944 226435136 0 0 0 0 0 0 0 
_1.ptx 51 : 19922944 210537984 0 0 0 0 0 0 0 
_1.ptx 52 : 19922944 222970496 0 0 0 0 0 0 0 
_1.ptx 53 : 19922944 224318048 0 0 0 0 0 0 0 
_1.ptx 54 : 19922944 132013152 0 0 0 0 0 0 0 
