 kernel 1: _Z4copyPfS_iii, start 1, end 94956, retire 94957
 kernel 2: _Z4copyPfS_iii, start 94958, end 188801, retire 188802
 kernel 3: _Z4copyPfS_iii, start 188803, end 283287, retire 283288
 kernel 4: _Z4copyPfS_iii, start 283289, end 376865, retire 376866
 kernel 5: _Z4copyPfS_iii, start 376867, end 471387, retire 471388
 kernel 6: _Z4copyPfS_iii, start 471389, end 565272, retire 565273
 kernel 7: _Z4copyPfS_iii, start 565274, end 658688, retire 658689
 kernel 8: _Z4copyPfS_iii, start 658690, end 753722, retire 753723
 kernel 9: _Z4copyPfS_iii, start 753724, end 848004, retire 848005
 kernel 10: _Z4copyPfS_iii, start 848006, end 942210, retire 942211
 kernel 11: _Z4copyPfS_iii, start 942212, end 1035561, retire 1035562
 kernel 12: _Z4copyPfS_iii, start 1035563, end 1129368, retire 1129369
 kernel 13: _Z4copyPfS_iii, start 1129370, end 1223725, retire 1223726
 kernel 14: _Z4copyPfS_iii, start 1223727, end 1318492, retire 1318493
 kernel 15: _Z4copyPfS_iii, start 1318494, end 1412752, retire 1412753
 kernel 16: _Z4copyPfS_iii, start 1412754, end 1506555, retire 1506556
 kernel 17: _Z4copyPfS_iii, start 1506557, end 1600874, retire 1600875
 kernel 18: _Z4copyPfS_iii, start 1600876, end 1695297, retire 1695298
 kernel 19: _Z4copyPfS_iii, start 1695299, end 1790248, retire 1790249
