kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 47 : 50000 1254320 200000 0 0 1563 1563 0 0 
_1.ptx 46 : 50000 552112 0 0 0 0 0 0 0 
_1.ptx 45 : 50000 552048 0 0 0 0 0 0 0 
_1.ptx 44 : 50000 36072080 200064 0 0 1563 1563 0 0 
_1.ptx 43 : 50000 28950256 200064 0 0 1563 1563 0 0 
_1.ptx 42 : 50000 568304 0 0 0 0 0 0 0 
_1.ptx 41 : 50000 565424 0 0 0 0 0 0 0 
_1.ptx 40 : 50000 522560 0 0 0 0 0 0 0 
_1.ptx 39 : 50000 370960 0 0 0 0 0 0 0 
_1.ptx 38 : 50000 378944 0 0 0 0 0 0 0 
_1.ptx 37 : 50000 383248 0 0 0 0 0 0 0 
_1.ptx 29 : 50176 327712 0 0 0 0 0 0 0 
_1.ptx 28 : 50176 353088 0 0 0 0 0 0 0 
_1.ptx 50 : 50176 303872 0 0 0 0 0 0 0 
_1.ptx 27 : 50176 2587968 0 0 0 0 0 0 0 
_1.ptx 26 : 50176 2753280 128 0 0 0 0 0 0 
_1.ptx 30 : 50176 324320 0 0 0 0 0 0 0 
_1.ptx 31 : 50176 327872 0 0 0 0 0 0 0 
_1.ptx 32 : 50176 324000 0 0 0 0 0 0 0 
_1.ptx 33 : 50176 669184 0 0 0 0 0 0 0 
_1.ptx 34 : 50176 422304 0 0 0 0 0 0 0 
_1.ptx 35 : 50176 1056 0 0 0 0 0 0 1 
